Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Electrodynamics,"Fundamental interaction between charged particles – study of the effects arising from the interactions of electric currents with magnets, with other currents, or with themselves.",-,-,Quantum electrodynamics | Study of quantum theory of electromagnetism.,-,-
Electrohydrodynamics,Study of electrically conducting fluids in the presence of electric fields – the study of dynamics of electrically charged fluids.,-,-,-,-,-
Electromagnetism,Fundamental interaction between charged particles – study of electromagnetic force.,-,Electromagnetism | Study of electric and magnetic field interactions.,Electromagnetism | Study of electric and magnetic field interactions.,Electromagnetism | Study of electric and magnetic field interactions.,-
Electrostatics,Study of stationary or slow-moving electric charges – study of static electricity.,-,-,-,-,-
Emmenology,study of menstruation.[21],-,-,-,-,-
Endemiology,study of local diseases.[citation needed],-,-,-,-,-
Entozoology,study of parasites that live inside larger organisms.[22],-,-,-,-,-
Environmental science,"study of the environment, and the solution of environmental problems.",-,Environmental science | Study of the environment and human impacts.,Environmental science | Study of the environment and human impacts.,Environmental science | Study of the environment and human impacts.,Environmental science | Study of the environment and human impacts.
Ephebiatrics,Medical subspecialty for adolescents – branch of medicine dealing with adolescence.,-,-,-,-,-
Eremology,study of deserts.[23],-,-,-,-,-
Escapology,Practice of escaping from restraints – study of freeing oneself from constraints.[relevant?],-,Escapology | Study of escape performance and physical skill.,Escapology | Study of escape performance and physical skill.,Escapology | Study of escape performance and physical skill.,-
Ethonomics,"Personal value, basis for ethical action – study of economic and ethical principles of a society.",-,-,-,-,-
Etiology,"Study of causation, or origination",-,-,-,-,-
Euthenics,Study of improving living conditions to increase well-being – science concerned with improving living conditions.,-,-,-,-,-
Exoplanetology,study of exoplanets.,-,Exoplanetology | Study of planets beyond the Solar System.,Exoplanetology | Study of planets beyond the Solar System.,Exoplanetology | Study of planets beyond the Solar System.,-
Felinology,Study of cats – study of felines.,-,Felinology | Study of cats and feline biology.,Felinology | Study of cats and feline biology.,Felinology | Study of cats and feline biology.,-
Fluviology,study of watercourses.[25],-,-,-,-,-
Forestry,"Science and craft of managing woodlands – study of the creation, management, use, conservation, and repair of forests and associated resources.",-,Forestry | Study of forest management and ecology.,Forestry | Study of forest management and ecology.; Environmental studies and forestry | Study of environmental studies and forestry management.,Forestry | Study of forest management and ecology.,-
Fracture mechanics,Study of propagation of cracks in materials,-,Fracture mechanics | Study of crack formation and material failure.,Fracture mechanics | Study of crack formation and material failure.,Fracture mechanics | Study of crack formation and material failure.,Fracture mechanics | Study of crack formation and material failure.
Gastroenterology,Branch of medicine focused on the digestive system and its disorders,-,Gastroenterology | Study of digestive system disorders.,Gastroenterology | Study of digestive system disorders.,Gastroenterology | Study of digestive system disorders.,-
Gerocomy,study of old age[citation needed],-,-,-,-,-
Glaciology,Scientific study of ice and natural phenomena involving ice,-,Glaciology | Study of glaciers and ice sheets.; Glaciology | Study of glaciers within hydrological systems.,Glaciology | Study of glaciers and ice sheets.; Glaciology | Study of glaciers within hydrological systems.,Glaciology | Study of glaciers and ice sheets.; Glaciology | Study of glaciers within hydrological systems.,-
Gnomonics,science that studies sundials – the art of measuring time using sundials,-,-,-,-,-
Graphemics,Study of graphemes and writing systems – study of systems of representing speech in writing,-,-,-,-,-
Gromatics,Ancient Roman land surveyors – science of surveying,-,-,-,-,-
Gyrostatics,study of rotating bodies[citation needed],-,-,-,-,-
Haemataulics,study of movement of blood through blood vessels[citation needed],-,-,-,-,-
Halieutics,study of fishing[26],-,-,-,-,-
Helminthology,Study of parasitic worms (helminths),-,Helminthology | Study of parasitic worms.,Helminthology | Study of parasitic worms.,Helminthology | Study of parasitic worms.,-
Hematology,Study of blood and blood diseases,-,Hematology | Study of blood and blood disorders.,Cytohematology | Study of blood cell analysis at the cellular level.; Hematology | Study of blood and blood disorders.,Hematology | Study of blood and blood disorders.,-
Hemodynamics,Dynamics of blood flow – study of the dynamics behind blood circulation,-,-,-,-,-
Hermeology,study of Mercury,-,-,-,-,-
Hippiatrics,study of diseases of horses[citation needed],-,-,-,-,-
Histology,Study of the microscopic anatomy of cells and tissues of plants and animals,-,Histology | Study of tissues and microscopic anatomy.; Histology | Study of tissues in clinical diagnostics.,Histology | Study of tissues and microscopic anatomy.; Histology | Study of tissues in clinical diagnostics.,Histology | Study of tissues and microscopic anatomy.; Histology | Study of tissues in clinical diagnostics.,-
Home economics,Study of household management,-,-,-,-,-
Horticulture,Small-scale cultivation of plants – study of gardening [citation needed],-,Horticulture | Study of garden and crop cultivation.,Horticulture | Study of garden and crop cultivation.,Horticulture | Study of garden and crop cultivation.,-
Hydraulics,"Applied engineering involving liquids – study of application of engineering, chemistry and other fields of science involving the use of liquids [citation needed]",-,Hydraulics | Study of water flow and hydraulic systems.,Hydraulics | Study of water flow and hydraulic systems.,Hydraulics | Study of water flow and hydraulic systems.,-
Hydrobiology,Science of life and life processes in water – study of aquatic organisms,-,-,-,-,-
Hydrodynamics,Study of liquids in motion,-,Hydrodynamics | Study of fluid motion in liquids.; Hydrodynamics | Study of fluid dynamics in astrophysical systems.,Hydrodynamics | Study of fluid motion in liquids.; Hydrodynamics | Study of fluid dynamics in astrophysical systems.; Magnetohydrodynamics | Study of magnetic fluids in astrophysical systems.,Hydrodynamics | Study of fluid motion in liquids.; Hydrodynamics | Study of fluid dynamics in astrophysical systems.,-
Hydrogeology,Study of the distribution and movement of groundwater,-,-,Hydrology / Limnology / Hydrogeology | Study of water systems surface and groundwater.,-,-
Hydrography,Measurement of bodies of water,-,-,Hydrology/Hydrography | Study of water distribution movement and properties.,-,-
Hydrokinetics,study of motion of fluids,-,-,-,-,-
Hydrometeorology,Branch of meteorology and hydrology – study of atmospheric moisture [citation needed],-,-,-,-,-
Hydrostatics,Branch of fluid mechanics that studies fluids at rest,-,-,-,-,-
Hyetology,science of rainfall[citation needed],-,-,-,-,-
Hygiastics,science of health and hygiene [citation needed],-,-,-,-,-
Hygienics,Practices performed to preserve health – study of sanitation; health [citation needed],-,-,-,-,-
Hygiology,hygienics; study of cleanliness [citation needed],-,-,-,-,-
Hypnology,Study of sleep and hypnotic phenomena – study of sleep; study of hypnosis.[28],-,-,-,-,-
Hypsography,Measurement of the elevation and depth of features on Earth's surface relative to mean sea level. – science of measuring heights[citation needed],-,-,-,-,-
Iamatology,"Obsolete synonym of the Systematic study of therapeutic remedies (called Aceology), covering principles, efficacy and modes of treatment",-,-,-,-,-
Ichnography,Architectural diagram showing interior layout of a building – art of drawing ground plans; a ground plan,-,-,-,-,-
Ichnology,Study of trace fossils,-,-,-,-,-
Ideology,Set of beliefs or values – science of ideas; system of ideas used to justify behaviour [citation needed],-,-,-,-,-
Immunochemistry,Study of the chemistry of the immune system.,-,Immunochemistry | Study of chemical aspects of immune processes.,Immunochemistry | Study of chemical aspects of immune processes.,Immunochemistry | Study of chemical aspects of immune processes.,-
Immunogenetics,Branch of medical genetics that studies genetic interactions related to the immune system – study of genetic characteristics of immunity,-,-,-,-,-
Immunopathology,Branch of medicine that deals with immune responses associated with disease,-,-,-,-,-
International relations,"Social-science field analysing political, economic and legal interactions among states and other actors",-,International relations | Study of relations between states and global actors.,International relations | Study of relations between states and global actors.,International relations | Study of relations between states and global actors.,International relations | Study of relations between states and global actors.
Karstology,Scientific study of the various aspects of karst regions,-,-,-,-,-
Karyology,Photographic display of total chromosome complement in a cell – study of cell nuclei,-,-,-,-,-
Kymatology,"Branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) – study of wave motion",-,-,-,-,-
Laryngology,Medical specialty that deals with the larynx,-,-,Otolaryngology | Study of ear nose and throat disorders.,-,-
Lepidopterology,Branch of entomology that studies moths and butterflies,-,-,-,-,-
Leprology,The study of leprosy and its treatment,-,-,-,-,-
Lichenology,Branch of mycology that studies lichens,-,-,-,-,-
Limnology,Science of inland aquatic ecosystems,-,Limnology | Study of inland waters such as lakes and rivers.; Limnology | Study of inland waters and freshwater ecosystems.,Limnology | Study of inland waters such as lakes and rivers.; Limnology | Study of inland waters and freshwater ecosystems.; Hydrology / Limnology / Hydrogeology | Study of water systems surface and groundwater.,Limnology | Study of inland waters such as lakes and rivers.; Limnology | Study of inland waters and freshwater ecosystems.,-
Loimology,study of plagues and epidemics [citation needed],-,-,-,-,-
Macroeconomics,"Study of an economy as a whole – branch of economics dealing with the performance, structure, behavior, and decision-making of the whole economy[citation needed][relevant?]",-,Macroeconomics | Study of aggregate economic behavior and policy.,Macroeconomics | Study of aggregate economic behavior and policy.,Macroeconomics | Study of aggregate economic behavior and policy.,-
Malariology,"Study of the mosquito borne disease, malaria",-,-,-,-,-
Marine biology,Scientific study of organisms that live in the ocean – study of the ocean's ecosystem,-,Marine biology | Study of marine organisms and ecosystems.,Marine biology | Study of marine organisms and ecosystems.,Marine biology | Study of marine organisms and ecosystems.,Marine biology | Study of marine organisms and ecosystems.
Meconology,study of or treatise concerning opium [citation needed][relevant?],-,-,-,-,-
Media studies,Field of study that deals with media[relevant?],-,-,Media studies (Mass media) | Study of mass media and their social effects.,Media studies (Mass media) | Study of mass media and their social effects.,Media studies (Mass media) | Study of mass media and their social effects.
Melittology,Scientific study of bees,-,-,-,-,-
Metallography,Study of metals using microscopy – study of the structure and constitution of metals,-,-,-,-,-
Metapolitics,Political discourse about politics itself – study of politics in theory or abstract,-,-,-,-,-
Methyology,study of alcohol [citation needed],-,-,-,-,-
Microanatomy,Study of the microscopic anatomy of cells and tissues,-,-,-,-,-
Microbial ecology,Study of the relationship of microorganisms with their environment,-,-,-,-,-
Microclimatology,Local set of atmospheric conditions that differ significantly from the surrounding area – study of local climates [citation needed],-,-,-,-,-
Microeconomics,Behavior of individuals and firms – branch of economics that studies the behavior of individual households and firms in making decisions on the allocation of limited resources [citation needed][relevant?],-,Microeconomics | Study of individual agents markets and prices.,Microeconomics | Study of individual agents markets and prices.,Microeconomics | Study of individual agents markets and prices.,-
Micrology,study or discussion of trivialities [citation needed][relevant?],-,-,-,-,-
Micropalaeontology,Branch of paleontology that studies microfossils,-,-,-,-,-
Military science,"Systematic study of military organisation, strategy, tactics and logistics",-,Military science | Study of systematic principles underlying military practice.,Military sciences | Study of military organization strategy and operations.; Military science | Study of systematic principles underlying military practice.,Military sciences | Study of military organization strategy and operations.; Military science | Study of systematic principles underlying military practice.,Military science | Study of systematic principles underlying military practice.
Molinology,Study of devices which use energy for mechanical purposes,-,-,-,-,-
Myology,Study of the muscular system – study of muscles,-,-,-,-,-
Myrmecology,Study of ants,-,Myrmecology | Study of ants and ant societies.,Myrmecology | Study of ants and ant societies.,Myrmecology | Study of ants and ant societies.,-
Naology,study of church or temple architecture [citation needed],-,-,-,-,-
Necroplanetology,Study of the process of planetary destruction – study of the destruction of planets[30],-,-,-,-,-
Neonatology,"Medical care of newborns, especially the ill or premature",-,-,-,-,-
Neossology,study of nestling birds [citation needed],-,-,-,-,-
Nephology,Scientific study of clouds,-,-,-,-,-
Nephrology,Medical study concerned with the kidneys,-,Nephrology | Study of kidney diseases and function.,Nephrology | Study of kidney diseases and function.,Nephrology | Study of kidney diseases and function.,-
Neurobiology,Scientific study of the nervous system,-,-,-,-,-
Neuroeconomics,Interdisciplinary field – study of human decision making and the ability to process multiple alternatives and to choose an optimal course of action,-,Neuroeconomics | Study of economic decision making using neuroscience.,Neuroeconomics | Study of economic decision making using neuroscience.,Neuroeconomics | Study of economic decision making using neuroscience.,-
Neurology,Medical specialty dealing with disorders of the nervous system,-,Neurology | Study of nervous system disorders.,Neurology | Study of nervous system disorders.,Neurology | Study of nervous system disorders.,-
Neuropsychology,Study of the brain related to specific psychological processes and behaviors,-,Neuropsychology | Study of brain based mechanisms of behavior.,Clinical neuropsychology | Study of brain behavior relationships in clinical settings.; Neuropsychology | Study of brain based mechanisms of behavior.,Neuropsychology | Study of brain based mechanisms of behavior.,-
Neurypnology,study of hypnotism [citation needed],-,-,-,-,-
Nomology,Science of laws in philosophy,-,-,-,-,-
Nostology,study of senility [citation needed],-,-,-,-,-
Notaphily,Study of paper currency – study and collecting of bank-notes and cheques [relevant?],-,-,-,-,-
Numismatics,"Study of currencies, coins and paper money",-,-,-,-,-
Nymphology,study of nymphs[citation needed],-,-,-,-,-
Occupational health,Field dedicated to protecting and promoting health and safety in the workplace,-,-,Occupational health psychology | Study of psychological health in the workplace.,Occupational health psychology | Study of psychological health in the workplace.,Occupational health psychology | Study of psychological health in the workplace.
Occupational health and safety,Field dedicated to protecting and promoting health and safety in the workplace,-,-,-,-,Occupational health psychology | Study of psychological health in the workplace.; Sociology of health and illness | Study of health illness and healthcare in society.; Medicine and health | Study of medicine healthcare and human health.
Occupational safety and health,Field dedicated to protecting and promoting health and safety in the workplace,-,-,-,-,Occupational health psychology | Study of psychological health in the workplace.; Sociology of health and illness | Study of health illness and healthcare in society.; Medicine and health | Study of medicine healthcare and human health.
Odonatology,Study of dragonflies and damselflies,-,-,-,-,-
Odontology,Scientific study of teeth,-,-,-,-,-
Olfactology,study of the sense of smell[31],-,-,-,-,-
Ombrology,study of rain[32],-,-,-,-,-
Oneirology,Scientific study of dreams,-,-,-,-,-
Oology,"Branch of ornithology studying bird eggs, nests and breeding behavior",-,Oology | Study of eggs and egg biology.,Anthrozoology | Study of human animal relationships.; Zoology | Study of animals and animal biology.; Bryozoology | Study of bryozoans and their biology.; Ethnozoology | Study of human relationships with animals in culture.; Invertebrate zoology | Study of invertebrate animals.; Oology | Study of eggs and egg biology.,Oology | Study of eggs and egg biology.,-
Ophidiology,Branch of herpetology that studies snakes,-,-,-,-,-
Ophiology,Branch of herpetology that studies snakes,-,-,-,-,-
Organology (anatomical),"Biological subfield examining the form, development and function of animal and plant organs",-,-,-,-,-
Organology (biology),"Collection of tissues with similar functions (biology) – study of form, structure, development, and functions of plant or animal organs",-,-,-,-,-
Orthopterology,Study of grasshoppers and related insects,-,-,-,-,-
Oryctology,mineralogy or paleontology[33],-,-,-,-,-
Osmics,scientific study of smells[34],-,-,-,-,-
Osmology,study of smells and olfactory processes [citation needed],-,-,Cosmology | Study of the origin and evolution of the universe.; Physical cosmology | Study of physical models of cosmology.; Physical cosmology | Study of physical models of the universe.,-,-
Osphresiology,study of the sense of smell[35],-,-,-,-,-
Osteology,Scientific study of bones,-,Osteology | Study of bones in archaeological and biological contexts.,Osteology | Study of bones in archaeological and biological contexts.,Osteology | Study of bones in archaeological and biological contexts.,-
Otorhinolaryngology,Medical specialty of the head and neck,-,-,-,-,-
Paedology,Study of children's behavior and development,-,-,-,-,-
Pain Medicine,"aspect of medicine and health care involving relief of pain (pain relief, analgesia, pain control) in various dimensions, from acute and simple to chronic and challenging",-,-,-,-,-
Palaeobiology,Study of organic evolution using fossils,-,-,-,-,-
Palaeoclimatology,Study of changes in ancient climate,-,Palaeoclimatology | Study of past climates using geological records.,Palaeoclimatology | Study of past climates using geological records.,Palaeoclimatology | Study of past climates using geological records.,-
Palaeoichthyology,study of ancient fish,-,-,-,-,-
Palaeopedology,Discipline studying soils of the past eras,-,-,-,-,-
Paleobotany,Study of organic evolution of plants based on fossils,-,-,-,-,-
Paleoseismology,Study of earthquakes that happened in the past,-,-,-,-,-
Papyrology,Scientific study of ancient manuscripts,-,-,-,-,-
Parapsychology,Study of paranormal and psychic phenomena [relevant?],-,Parapsychology | Study of purported paranormal psychological phenomena.,Parapsychology | Study of purported paranormal psychological phenomena.,Parapsychology | Study of purported paranormal psychological phenomena.,-
Pedagogics,Theory and practice of education [relevant?],-,-,-,-,-
Penology,Subfield of criminology – study of crime and punishment [citation needed],-,-,-,-,-
Periodontics,Field of dentistry,-,Periodontics | Study of gum disease and supporting tissues of teeth.,Periodontics | Study of gum disease and supporting tissues of teeth.,Periodontics | Study of gum disease and supporting tissues of teeth.,-
Periodontology,Field of dentistry,-,-,-,-,-
Pestology,Scientific study of insects – science of pests [citation needed],-,-,-,-,-
Pharmacognosy,Study of drugs obtained from natural sources,-,Pharmacognosy | Study of medicinal compounds from natural sources.,Pharmacognosy | Study of medicinal compounds from natural sources.,Pharmacognosy | Study of medicinal compounds from natural sources.,-
Pharyngology,study of the throat[37],-,-,-,-,-
Phenology,Study of periodic events in biological life cycles,-,-,-,-,-
Phonetics,Study of how humans produce and perceive sounds,-,Phonetics | Study of speech sounds and their physical properties.,Phonetics | Study of speech sounds and their physical properties.,Phonetics | Study of speech sounds and their physical properties.,-
Phylogenetics,Study of evolutionary relationships between organisms,-,-,-,-,-
Phylogeny,Study of evolutionary relationships between organisms,-,-,-,-,-
Plumology,Study of feathers,-,-,-,-,-
Plutology,political economy; study of wealth [citation needed],-,-,-,-,-
Podiatry,Medicine branch focusing on the human lower extremities,-,Podiatry | Study of foot and ankle medicine and treatment.,Podiatry | Study of foot and ankle medicine and treatment.,Podiatry | Study of foot and ankle medicine and treatment.,-
Podology,Medicine branch focusing on the human lower extremities,-,-,Arthropodology | Study of arthropods and their biology.; Myriapodology | Study of myriapods such as centipedes.,-,-
Pogonology,Hair that grows on the lower part of the face – study of beards[citation needed],-,-,-,-,-
Pomology,Study of fruits and their cultivation,-,Pomology | Study of fruit cultivation and production.,Pomology | Study of fruit cultivation and production.,Pomology | Study of fruit cultivation and production.,-
Posology,Study of dosage of medicines,-,-,-,-,-
Potamology,Study of rivers,-,-,-,-,-
Praxeology,Theory of human action,-,-,-,-,-
Preventive Medicine,"Study of disease prevention (handled as synonym for ""study of healthy living"")",-,Preventive medicine | Study of preventing disease and promoting health.,Preventive medicine | Study of preventing disease and promoting health.,Preventive medicine | Study of preventing disease and promoting health.,Preventive medicine | Study of preventing disease and promoting health.
Proctology,"Study of the structure and diseases of the anus, rectum, and sigmoid colon",-,-,-,-,-
Psephology,Quantitative scientific analysis of elections and balloting (within political science) – study of election results and voting trends,-,Psephology | Study of elections and voting behavior.,Psephology | Study of elections and voting behavior.,Psephology | Study of elections and voting behavior.,-
Psychobiology,Neuroscience of behaviour,-,Psychobiology | Study of biological bases of behavior.,Psychobiology | Study of biological bases of behavior.,Psychobiology | Study of biological bases of behavior.,-
Psycholinguistics,Study of relations between psychology and language,-,Psycholinguistics | Study of psychological processes involved in language.,Psycholinguistics | Study of psychological processes involved in language.,Psycholinguistics | Study of psychological processes involved in language.,-
Psychopathology,Scientific study of mental disorders,-,Psychopathology | Study of mental disorders and maladaptive behavior.,Psychopathology | Study of mental disorders and maladaptive behavior.; Child psychopathology | Study of mental disorders in children and adolescents.,Psychopathology | Study of mental disorders and maladaptive behavior.,-
Psychophysics,Branch of knowledge relating physical stimuli and psychological perception,-,Psychophysics | Study of relationships between physical stimuli and perception.,Psychophysics | Study of relationships between physical stimuli and perception.,Psychophysics | Study of relationships between physical stimuli and perception.,-
Pterylology,study of distribution of feathers on birds,-,-,-,-,-
Pyretology,study of fevers,-,-,-,-,-
Pyrgology,study of towers,-,-,-,-,-
Queer theory,Field of critical theory – study of issues related to sexual orientation and gender identity[citation needed][relevant?],-,-,Queer studies/Queer theory | Study of queer theory and LGBTQ identities.,-,Queer studies/Queer theory | Study of queer theory and LGBTQ identities.
Quinology,study of quinine.[citation needed],-,-,-,-,-
Radiology,Medical specialty for imaging procedures,-,Radiology | Study of medical imaging and diagnostic radiology.,Paleoradiology | Study of ancient remains using imaging and radiology.; Radiology | Study of medical imaging and diagnostic radiology.,Radiology | Study of medical imaging and diagnostic radiology.,-
Rheology,"Study of the flow of matter, primarily in a fluid state",-,-,-,-,-
Rheumatology,Medical speciality of inflammatory diseases,-,Rheumatology | Study of autoimmune and musculoskeletal diseases.,Rheumatology | Study of autoimmune and musculoskeletal diseases.,Rheumatology | Study of autoimmune and musculoskeletal diseases.,-
Rhinology,Study of the nose and sinuses,-,-,-,-,-
Robotics,"Design, construction, use, and application of robots",-,Robotics | Study of intelligent machines that sense and act.; Robotics | Study of robotic systems design and control.,Robotics | Study of intelligent machines that sense and act.; Robotics | Study of robotic systems design and control.; Microbotics | Study of micro scale robotic systems.,Robotics | Study of intelligent machines that sense and act.; Robotics | Study of robotic systems design and control.,-
Runology,Study of Runic alphabets,-,-,-,-,-
Sarcology,study of fleshy parts of the body [citation needed],-,-,-,-,-
Scripophily,Study and collection of stock and bond certificates[relevant?],-,-,-,-,-
Selenodesy,Study of the surface and shape of the Moon,-,-,-,-,-
Selenology,Structure and composition of the Moon – study of the Moon [citation needed],-,-,-,-,-
Semiology,Study of signs and sign processes – study of signs and signals [citation needed],-,-,-,-,-
Semiotics,Study of signs and sign processes,-,Semiotics | Study of signs symbols and meaning making.,Semiotics | Study of signs symbols and meaning making.; Zoosemiotics | Study of animal communication and signs.,Semiotics | Study of signs symbols and meaning making.,-
Serology,Scientific study of serum and other bodily fluids,-,-,-,-,-
Siderology,"study of iron and its alloys, including steel  [citation needed]",-,-,-,-,-
Sign-Language Studies,Form of communication using one or both hands – study of sign language.[citation needed],-,-,-,-,-
Sindonology,Scientific analysis of the Shroud.of Turin,-,-,-,-,-
Sitology,Expert in nutrition and malnutrition – dietetics [citation needed],-,-,Parasitology | Study of parasites and host interactions.; Parasitology | Study of parasites in clinical diagnostics.,-,-
Snow hydrology,Field of snow science concerning its composition and dispersion,-,-,-,-,-
Socioeconomics,Branch of sociology – study of the relationship between economy and society [citation needed],-,Socioeconomics | Study of social and economic factors together.,Socioeconomics | Study of social and economic factors together.; Economic sociology/Socioeconomics | Study of social and economic transformation processes.,Socioeconomics | Study of social and economic factors together.,-
Sphagnology,study of peat moss[citation needed],-,-,-,-,-
Sphygmology,Study of the pulse,-,-,-,-,-
Splanchnology,Study of the visceral organs,-,-,-,-,-
Stasiology,study of political parties [citation needed],-,-,Haemostasiology | Study of blood clotting and hemostasis disorders.,-,-
Stomatology,Study of oral medicine – study of the mouth[citation needed],-,-,-,-,-
Suicidology,Scientific study of suicide and self-destructive behaviors,-,-,-,-,-
Symptomatology,"Indications of a specific illness, including psychiatric – study of symptoms of illness",-,-,-,-,-
Synecology,Associated populations of species in a given area – study of ecological communities,-,-,-,-,-
Syphilology,Sexually transmitted infection – study of syphilis,-,-,-,-,-
Systematics,"Branch of biology – study of the diversification of living forms, both past and present",-,Systematics | Study of biological diversity and classification.,Systematics | Study of biological diversity and classification.; Systematics (Taxonomy) | Study of classification and relationships among organisms.,Systematics | Study of biological diversity and classification.; Systematics (Taxonomy) | Study of classification and relationships among organisms.,-
Taxidermy,Stuffing and mounting dead animals for display – art of curing and stuffing animals [relevant?],-,-,-,-,-
Telmatology,Branch of physical geography concerned with the study of wetlands,-,-,-,-,-
Tempestology,"The study of cyclones, hurricanes and similar extreme weather events",-,-,-,-,-
Thalassography,science of the seas and gulfs [41],-,-,-,-,-
Theriogenology,Veterinary specialty concerning reproduction,-,-,-,-,-
Thremmatology,science of breeding domestic animals and plants[42],-,-,-,-,-
Threpsology,science of nutrition [citation needed],-,-,-,-,-
Tidology,study of tides,-,-,-,-,-
Traumatology,Medicine branch – study of wounds and their effects [citation needed],-,Traumatology | Study of trauma injuries and their treatment.,Traumatology | Study of trauma injuries and their treatment.,Traumatology | Study of trauma injuries and their treatment.,-
Tribology,Science of rubbing surfaces,-,-,-,-,-
Turbology,study of tornadoes [citation needed],-,-,-,-,-
Typhlology,study of blindness and the blind [43],-,-,-,-,-
Uranography,Part of astronomy concerned with mapping of stars,-,-,-,-,-
Urbanology,Study dealing with specialized problems of cities,-,-,-,-,-
Urenology,study of rust molds[citation needed],-,-,-,-,-
Urology,Medical specialty on the urinary and reproductive systems,-,Urology | Study of urinary tract and male reproductive systems.,Futurology | Study of forecasting and exploring possible futures.; Culturology | Study of culture as a scientific and theoretical field.; Neurology | Study of nervous system disorders.; Urology | Study of urinary tract and male reproductive systems.,Urology | Study of urinary tract and male reproductive systems.,-
Vaccinology,Science of vaccine development and production,-,-,-,-,-
Valeology,study of healthy living[44],-,-,-,-,-
Venereology,Branch of medicine dealing with the study and treatment of sexually transmitted diseases,-,-,-,-,-
Venology,The study of veins.[45],-,-,-,-,-
Vexillography,Art and practice of designing flags – the art and practice of designing flags,-,-,-,-,-
Vexillology,Study of flags,-,-,-,-,-
Victimology,Study of victimization,-,Victimology | Study of victims of crime and social harm.,Victimology | Study of victims of crime and social harm.,Victimology | Study of victims of crime and social harm.,-
Vinology,scientific study of vines and winemaking [46],-,-,-,-,-
Vitaminology,The study of vitamins.[47],-,-,-,-,-
Xenobiology,Science of synthetic life forms – study of biological systems which do not exist in nature[citation needed],-,Xenobiology | Study of artificial or nonstandard biological systems.,Xenobiology | Study of artificial or nonstandard biological systems.,Xenobiology | Study of artificial or nonstandard biological systems.,-
Xylography,Broad term for woodblock printing techniques,-,-,-,-,-
Youth Studies,"Interdisciplinary academic field – the study of the development, history, culture, psychology, and politics of youth",-,-,-,-,-
Zenography,The study of the planet Jupiter,-,-,-,-,-
Zooarchaeology,Analysis of animal remains found in archaeological sites,-,Zooarchaeology | Study of animal remains in archaeological sites.,Zooarchaeology | Study of animal remains in archaeological sites.,Zooarchaeology | Study of animal remains in archaeological sites.,-
Zoogeology,study of fossil animal remains [citation needed],-,-,-,-,-
Zoonomy,study of animal physiology[citation needed],-,-,-,-,-
Zoonosology,study of animal diseases [citation needed],-,-,-,-,-
Zoopathology,Study and diagnosis of disease in animals,-,-,-,-,-
Zoophysiology,study of physiology of animals [citation needed],-,-,-,-,-
Zootechnics,Science of managing domestic or captive animals,-,-,-,-,-
Zygology,science of joining and fastening [50],-,-,-,-,-
Agriology,Obsolete anthropological term once used for the comparative study of traditional (so-called “primitive”) cultures; nowadays subsumed under ethnology,-,-,-,-,-
Anthropobiology,Biological study of the human species – study of human biology.,-,-,-,-,-
Anthrozoology,Subset of ethnobiology – study of human-animal interaction.,-,Anthrozoology | Study of human animal relationships.,Anthrozoology | Study of human animal relationships.,Anthrozoology | Study of human animal relationships.,-
Castrametation,Roman term for a fortified military base – art of designing a camp.[citation needed],-,-,-,-,-
Cosmetology,Study and application of beauty treatment – study of cosmetics.[relevant?],-,Cosmetology | Study of beauty treatments and cosmetic care.,Cosmetology | Study of beauty treatments and cosmetic care.,Cosmetology | Study of beauty treatments and cosmetic care.,-
Craniology,Pseudoscientific study of human characteristics according to shape of the skull – study of the skull.,-,-,-,-,-
Dance research,"Academic investigation of dance as art, cultural practice and embodied knowledge",-,-,-,-,-
Dance Studies,"Academic investigation of dance as art, cultural practice and embodied knowledge",-,-,-,-,-
Demology,study of human populations and behaviour.[18],-,-,-,-,-
Egyptology,Scientific study of ancient Egypt – study of ancient Egypt.,-,Egyptology | Study of ancient Egypt and its material culture.; Egyptology | Study of ancient Egypt and its culture.,Egyptology | Study of ancient Egypt and its material culture.; Egyptology | Study of ancient Egypt and its culture.,Egyptology | Study of ancient Egypt and its material culture.; Egyptology | Study of ancient Egypt and its culture.,-
Eidology,study of mental imagery.[20],-,-,-,-,-
Electrology,Method of hair removal – study of electricity.[citation needed][relevant?],-,-,-,-,-
Emetology,"Involuntary, forceful expulsion of stomach contents, typically via the mouth – study of vomiting.[citation needed]",-,-,-,-,-
Epileptology,Physician specializing in epileptology – study of epilepsy.,-,-,-,-,-
Ergology,study of effects of work on humans.[citation needed],-,-,-,-,-
Ergonomics,Designing systems to suit their users – study of people at work.,-,Ergonomics | Study of human factors in product and workplace design.; Ergonomics | Study of human factors and system design.; Ergonomics | Study of human factors and physical performance.,Ergonomics | Study of human factors in product and workplace design.; Ergonomics | Study of human factors and system design.; Ergonomics | Study of human factors and physical performance.,Ergonomics | Study of human factors in product and workplace design.; Ergonomics | Study of human factors and system design.; Ergonomics | Study of human factors and physical performance.,-
